loss,val_loss,val_mae
0.5053977636580772,0.26584959243025097,7.652256535188652
0.17516644647780885,0.20961857906409673,6.824652271506227
0.1582663816974518,0.24183022337300436,7.372485680285795
0.15017435350950728,0.21084005598511016,6.9024756189040195
0.14689094890305338,0.19244713655539922,6.59842433505588
0.1435963773822531,0.21609387972525188,7.004769777368614
0.12472506069598045,0.17604522690886543,6.131385014851888
0.11305480054084291,0.1652415997925259,5.910159436920543
0.1106515755837268,0.1502967487488474,5.663268294157805
0.10811321889149382,0.1548483066615604,5.729370421892331
